student_id,platform,subject,required,activity_time_level,participation_level,page_views_level,assignment_on_time,failed,motivation_statement,expectancy,utility_value,intrinsic_value,imposed_value,cost
1,gemini,MATH,1,3,3,3,1,1,I'm taking Calculus I because it's essential for my engineering major. I'm excited to deepen my understanding of mathematical concepts and apply them in future courses.,,1,1,1,0
2,gemini,MATH,0,1,1,1,0.85234714,0,"This is a required course, and I'm just trying to get it over with. Math isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
3,gemini,MATH,1,1,1,2,1,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
4,gemini,MATH,1,3,2,1,1,0,"I'm taking Calculus I because it's crucial for my aspiration to become an architect. I know it will be challenging, but I'm determined to grasp the concepts despite my past difficulties with math.",1,1,0,0,1
5,gemini,MATH,0,1,2,3,0.884876994,0,"As a physics major, Calculus I is a core requirement. I believe a solid grasp of calculus will be invaluable for understanding complex physical phenomena and solving real-world problems.",,1,0,1,0
6,gemini,MATH,1,3,1,2,0.833172609,0,I'm enrolled in this course because it's a prerequisite. I find math very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
7,gemini,MATH,1,2,1,1,1,1,"This class is required for graduation. I'm not particularly passionate about math, but I'm committed to doing what's necessary to complete my degree.",,1,0,1,0
8,gemini,MATH,1,3,2,2,1,1,"Calculus I is a core course for my engineering pathway. I'm really motivated to succeed, but I've been struggling with some of the foundational topics, so I'm hoping to improve throughout the semester.",0,1,0,1,1
9,gemini,MATH,0,2,3,3,0.913052561,1,"I've always enjoyed math, and Calculus I is a natural progression. I'm looking forward to the challenge and gaining a deeper insight into how mathematical principles govern the world around us.",,0,1,0,0
10,gemini,MATH,1,3,1,2,0.988512009,0,"Calculus I is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
11,gemini,MATH,1,1,1,1,0.787316461,0,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
12,gemini,MATH,0,3,2,3,0.850140537,0,"This course is a critical step towards my career in data science. I'm eager to build a strong foundation in calculus, as it's fundamental to advanced analytics and machine learning.",,1,1,0,0
13,gemini,MATH,1,2,1,1,0.928392454,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
14,gemini,MATH,1,2,2,2,0.633007963,0,"This course is a requirement for my computer science degree, and I recognize its importance. I'm committed to putting in the effort, even though I often find mathematical concepts difficult to fully grasp.",0,1,0,1,1
15,gemini,MATH,0,3,3,2,0.787508217,0,"I'm taking this course to fulfill a major requirement, but I'm also genuinely interested in the subject. I hope to improve my problem-solving skills and develop a more rigorous mathematical mindset.",,1,1,1,0
16,gemini,MATH,1,1,1,2,0.767542494,0,"I have to take Calculus I for my degree, but I've always struggled with math. I'm hoping to somehow get by.",0,1,0,1,1
17,gemini,MATH,1,1,1,3,0.677433776,0,It's a required course for my major. I'm just trying to get through it and focus on other areas of my studies that I find more engaging.,,0,0,1,0
18,gemini,MATH,1,3,2,3,0.942849467,0,"I want to understand calculus better for my personal growth and to fulfill a major requirement. I'm finding the material quite challenging, but I'm trying my best to keep up and learn as much as possible.",0,0,1,1,1
19,gemini,MATH,0,3,3,3,0.869197592,0,I'm taking Calculus I because it's essential for my engineering major. I'm excited to deepen my understanding of mathematical concepts and apply them in future courses.,,1,1,1,0
20,gemini,MATH,1,1,1,1,0.59753926,0,"This is a required course, and I'm just trying to get it over with. Math isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
21,gemini,MATH,1,1,1,2,1,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
22,gemini,MATH,1,1,2,3,0.886133555,0,"I'm taking Calculus I because it's crucial for my aspiration to become an architect. I know it will be challenging, but I'm determined to grasp the concepts despite my past difficulties with math.",1,1,0,0,1
23,gemini,MATH,0,3,2,1,0.930129231,0,"As a physics major, Calculus I is a core requirement. I believe a solid grasp of calculus will be invaluable for understanding complex physical phenomena and solving real-world problems.",,1,0,1,0
24,gemini,MATH,1,2,1,1,0.595050363,0,I'm enrolled in this course because it's a prerequisite. I find math very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
25,gemini,MATH,1,1,1,2,0.771123455,0,"This class is required for graduation. I'm not particularly passionate about math, but I'm committed to doing what's necessary to complete my degree.",,1,0,1,0
26,gemini,MATH,1,3,2,2,0.936638388,0,"Calculus I is a core course for my engineering pathway. I'm really motivated to succeed, but I've been struggling with some of the foundational topics, so I'm hoping to improve throughout the semester.",0,1,0,1,1
27,gemini,MATH,0,2,3,3,0.844900642,0,"I've always enjoyed math, and Calculus I is a natural progression. I'm looking forward to the challenge and gaining a deeper insight into how mathematical principles govern the world around us.",,0,1,0,0
28,gemini,MATH,1,3,1,2,0.955139604,0,"Calculus I is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
29,gemini,MATH,1,1,2,3,0.759872262,0,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
30,gemini,MATH,0,1,2,1,0.876245938,0,"This course is a critical step towards my career in data science. I'm eager to build a strong foundation in calculus, as it's fundamental to advanced analytics and machine learning.",,1,1,0,0
31,gemini,MATH,1,1,1,1,0.759658678,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
32,gemini,MATH,1,2,2,3,1,0,"This course is a requirement for my computer science degree, and I recognize its importance. I'm committed to putting in the effort, even though I often find mathematical concepts difficult to fully grasp.",0,1,0,1,1
33,gemini,MATH,0,1,3,1,0.958650278,0,"I'm taking this course to fulfill a major requirement, but I'm also genuinely interested in the subject. I hope to improve my problem-solving skills and develop a more rigorous mathematical mindset.",,1,1,1,0
34,gemini,MATH,1,1,1,3,0.668457814,0,"I have to take Calculus I for my degree, but I've always struggled with math. I'm hoping to somehow get by.",0,1,0,1,1
35,gemini,MATH,1,3,1,2,1,0,It's a required course for my major. I'm just trying to get through it and focus on other areas of my studies that I find more engaging.,,0,0,1,0
36,gemini,MATH,1,3,1,2,0.63583127,0,"I want to understand calculus better for my personal growth and to fulfill a major requirement. I'm finding the material quite challenging, but I'm trying my best to keep up and learn as much as possible.",0,0,1,1,1
37,gemini,MATH,0,3,2,3,0.98088636,0,I'm taking Calculus I because it's essential for my engineering major. I'm excited to deepen my understanding of mathematical concepts and apply them in future courses.,,1,1,1,0
38,gemini,MATH,1,3,1,3,0.488065975,0,"This is a required course, and I'm just trying to get it over with. Math isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
39,gemini,MATH,1,2,1,2,0.61436279,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
40,gemini,MATH,1,2,2,2,0.949529185,0,"I'm taking Calculus I because it's crucial for my aspiration to become an architect. I know it will be challenging, but I'm determined to grasp the concepts despite my past difficulties with math.",1,1,0,0,1
41,gemini,MATH,0,3,2,1,1,0,"As a physics major, Calculus I is a core requirement. I believe a solid grasp of calculus will be invaluable for understanding complex physical phenomena and solving real-world problems.",,1,0,1,0
42,gemini,MATH,1,1,1,1,0.914273656,0,I'm enrolled in this course because it's a prerequisite. I find math very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
43,gemini,MATH,1,3,1,1,0.856870344,0,"This class is required for graduation. I'm not particularly passionate about math, but I'm committed to doing what's necessary to complete my degree.",,1,0,1,0
44,gemini,MATH,1,3,2,2,0.874834446,0,"Calculus I is a core course for my engineering pathway. I'm really motivated to succeed, but I've been struggling with some of the foundational topics, so I'm hoping to improve throughout the semester.",0,1,0,1,1
45,gemini,MATH,0,2,3,1,0.812147801,0,"I've always enjoyed math, and Calculus I is a natural progression. I'm looking forward to the challenge and gaining a deeper insight into how mathematical principles govern the world around us.",,0,1,0,0
46,gemini,MATH,1,1,1,3,0.736031158,0,"Calculus I is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
47,gemini,MATH,1,1,1,1,0.787872246,0,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
48,gemini,MATH,0,2,2,1,1,0,"This course is a critical step towards my career in data science. I'm eager to build a strong foundation in calculus, as it's fundamental to advanced analytics and machine learning.",,1,1,0,0
49,gemini,MATH,1,2,1,2,0.948723658,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
50,gemini,MATH,1,3,2,2,0.655543977,1,"I'm taking this course to strengthen my analytical skills, which are important for my business major. I'm finding it tougher than I expected, but I'm dedicated to improving my understanding and performance.",1,1,0,0,1
51,gemini,CHEM,1,3,3,3,0.992408397,1,"I'm taking Fund of Chemical Principles I because it's a foundational course for my pre-med track. I'm eager to understand the core concepts of chemistry, which I know are vital for my future studies.",,1,1,0,0
52,gemini,CHEM,0,3,2,1,0.802983544,1,"This course is a general education requirement, and honestly, I'm not very interested in chemistry. I just want to pass and move on.",,0,0,1,0
53,gemini,CHEM,1,2,1,2,0.7446156,1,"I need this for my biology major. I'm hoping to grasp the basics and apply them to my other science courses, even though chemistry isn't my favorite subject.",,1,0,1,0
54,gemini,CHEM,1,3,1,2,1,0,"Chemistry is crucial for my environmental science degree. I'm finding some of the concepts challenging, but I'm determined to understand them as they're so relevant to my career goals.",1,1,0,0,1
55,gemini,CHEM,0,3,2,1,1,0,"As a chemical engineering student, this is a core course. I'm excited to delve into the principles that govern chemical reactions and material properties.",,0,1,1,0
56,gemini,CHEM,1,2,3,2,1,0,"I'm enrolled because it's a prerequisite. Chemistry has always been a struggle for me, and I'm not looking forward to the complex calculations.",0,0,0,1,1
57,gemini,CHEM,1,2,1,2,0.712156495,0,This class is required for my nursing program. I'm focused on learning the essential chemical concepts that will be relevant to patient care.,,1,0,1,0
58,gemini,CHEM,1,1,2,3,0.873618144,0,"Fund of Chemical Principles I is a key course for my pharmacy pathway. I'm highly motivated, but the sheer volume of information is overwhelming, and I'm struggling to keep up with the pace.",0,1,0,0,1
59,gemini,CHEM,0,2,3,3,0.993126343,0,"I've always been fascinated by how things work at a molecular level, so this course is a natural fit. I'm looking forward to the lab experiments and deeper theoretical understanding.",,0,1,0,0
60,gemini,CHEM,1,2,1,2,1,0,This is a required science credit. I'm aiming to get a decent grade and fulfill the requirement without too much difficulty.,,0,0,1,0
61,gemini,CHEM,1,1,1,3,0.784165152,0,"I have to take this for my degree. I'm not sure what to expect, but I'm not particularly enthusiastic about chemistry.",,0,0,1,0
62,gemini,CHEM,0,3,2,2,0.892151154,0,This course is vital for my future in forensic science. I'm eager to understand the chemical analysis techniques and principles that are fundamental to the field.,,1,1,0,0
63,gemini,CHEM,1,2,1,2,0.658733005,0,It's a general education science requirement. I'm just trying to get through it and focus on my humanities courses.,,0,0,1,0
64,gemini,CHEM,1,2,1,2,0.740569006,0,"This course is a requirement for my materials science degree. I understand its importance, but I'm finding the abstract concepts hard to visualize and apply.",0,0,0,1,1
65,gemini,CHEM,0,2,3,3,1,0,"I'm taking this course to fulfill a major requirement, but I'm also genuinely interested in the subject. I hope to improve my problem-solving skills and develop a more rigorous scientific mindset.",,1,1,1,0
66,gemini,CHEM,1,2,1,1,1,0,"I have to take Chemistry for my degree, but I've always found it incredibly difficult. I'm just hoping to somehow scrape by.",0,0,0,1,1
67,gemini,CHEM,1,1,1,2,0.865597976,0,It's a required course for my major. I'm just trying to get through it and focus on other areas of my studies that I find more engaging.,,0,0,1,0
68,gemini,CHEM,1,2,1,2,1,0,"I want to understand chemical principles better for my personal growth and to fulfill a major requirement. I'm finding the material quite challenging, but I'm trying my best to keep up and learn as much as possible.",0,0,1,1,1
69,gemini,CHEM,0,3,3,3,0.996163603,0,I'm taking Fund of Chemical Principles I because it's essential for my pharmaceutical sciences major. I'm excited to deepen my understanding of chemical reactions and drug interactions.,,1,1,1,0
70,gemini,CHEM,1,3,1,3,0.750976049,0,"This is a required course, and I'm just trying to get it over with. Chemistry isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
71,gemini,CHEM,1,3,1,2,0.952279121,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
73,gemini,CHEM,0,2,2,3,1,0,"As a biochemistry major, this is a core requirement. I believe a solid grasp of chemistry will be invaluable for understanding complex biological processes.",,1,0,1,0
74,gemini,CHEM,1,2,1,1,0.872834792,0,I'm enrolled in this course because it's a prerequisite. I find chemistry very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
75,gemini,CHEM,1,3,1,1,1,0,"This class is required for graduation. I'm not particularly passionate about chemistry, but I'm committed to doing what's necessary to complete my degree.",,1,0,1,0
